"lkcode" "lknum" "spp" "len" "wt"
"AHQ91" 3 "LMB" 11.7 0.73
"AHQ91" 3 "LMB" 11.8 0.66
"AHQ91" 3 "LMB" 11.8 0.7
"AHQ91" 3 "LMB" 11.8 0.71
"AHQ91" 3 "LMB" 11.8 0.72
"AHQ91" 3 "LMB" 11.9 0.51
"AHQ91" 3 "LMB" 11.9 0.68
"AHQ91" 3 "LMB" 11.9 0.78
"AHQ91" 3 "LMB" 11.9 0.78
"AHQ91" 3 "LMB" 12 0.64
"AHQ91" 3 "LMB" 12 0.71
"AHQ91" 3 "LMB" 12 0.76
"AHQ91" 3 "LMB" 12 0.76
"AHQ91" 3 "LMB" 12 0.83
"AHQ91" 3 "LMB" 12 0.87
"AHQ91" 3 "LMB" 12 0.94
"AHQ91" 3 "LMB" 12.1 0.29
"AHQ91" 3 "LMB" 12.1 0.81
"AHQ91" 3 "LMB" 12.1 0.89
"AHQ91" 3 "LMB" 12.1 0.99
"AHQ91" 3 "LMB" 12.2 0.72
"AHQ91" 3 "LMB" 12.2 0.85
"AHQ91" 3 "LMB" 12.3 0.75
"AHQ91" 3 "LMB" 12.3 0.76
"AHQ91" 3 "LMB" 12.3 0.85
"AHQ91" 3 "LMB" 12.4 0.82
"AHQ91" 3 "LMB" 12.4 0.94
"AHQ91" 3 "LMB" 12.5 0.78
"AHQ91" 3 "LMB" 12.6 0.94
"AHQ91" 3 "LMB" 12.7 0.86
"AHQ91" 3 "LMB" 12.8 0.83
"AHQ91" 3 "LMB" 12.8 0.87
"AHQ91" 3 "LMB" 12.9 1
"AHQ91" 3 "LMB" 13 1.06
"AHQ91" 3 "LMB" 13.1 0.86
"AHQ91" 3 "LMB" 13.5 1.09
"AHQ91" 3 "LMB" 13.5 1.13
"AHQ91" 3 "LMB" 13.8 1.17
"AHQ91" 3 "LMB" 14 1.15
"AHQ91" 3 "LMB" 14.2 0.86
"AHQ91" 3 "LMB" 14.6 1.09
"AHQ91" 3 "LMB" 14.7 1.44
"AHQ91" 3 "LMB" 14.7 1.5
"AHQ91" 3 "LMB" 15.1 1.48
"AHQ91" 3 "LMB" 15.5 1.98
"AHQ91" 3 "LMB" 15.8 1.78
"AHQ91" 3 "LMB" 7.2 0.14
"AHQ91" 3 "LMB" 7.5 0.2
"ANI15" 4 "LMB" 7.9 0.24
"ANI15" 4 "LMB" 7.9 0.25
"ANI15" 4 "LMB" 8.5 0.28
"ANI15" 4 "LMB" 8.7 0.3
"ANI15" 4 "LMB" 8.7 0.32
"ANI15" 4 "LMB" 8.7 0.37
"ANI15" 4 "LMB" 9 0.39
"ANI15" 4 "LMB" 9.1 0.38
"ANI15" 4 "LMB" 10.3 0.54
"ANI15" 4 "LMB" 10.4 0.67
"ANI15" 4 "LMB" 10.5 0.56
"ANI15" 4 "LMB" 11 0.54
"ANI15" 4 "LMB" 12 0.8
"ANI15" 4 "LMB" 12.4 0.84
"ANI15" 4 "LMB" 12.5 0.73
"ANI15" 4 "LMB" 12.5 0.91
"ANI15" 4 "LMB" 13 1.06
"ANI15" 4 "LMB" 13.3 0.99
"ANI15" 4 "LMB" 13.5 0.96
"ANI15" 4 "LMB" 13.5 1.07
"ANI15" 4 "LMB" 13.5 1.14
"ANI15" 4 "LMB" 13.5 1.2
"ANI15" 4 "LMB" 13.6 0.93
"ANI15" 4 "LMB" 13.7 1.13
"ANI15" 4 "LMB" 13.7 1.17
"ANI15" 4 "LMB" 13.8 1.2
"ANI15" 4 "LMB" 13.8 1.28
"ANI15" 4 "LMB" 13.9 1.01
"ANI15" 4 "LMB" 14 0.99
"ANI15" 4 "LMB" 14 1.49
"ANI15" 4 "LMB" 14.1 1.29
"ANI15" 4 "LMB" 14.2 1.15
"ANI15" 4 "LMB" 14.2 1.26
"ANI15" 4 "LMB" 14.2 1.32
"ANI15" 4 "LMB" 14.3 1.27
"ANI15" 4 "LMB" 14.3 1.37
"ANI15" 4 "LMB" 14.4 1.22
"ANI15" 4 "LMB" 14.4 1.42
"ANI15" 4 "LMB" 14.4 1.45
"ANI15" 4 "LMB" 14.5 0.53
"ANI15" 4 "LMB" 14.5 1.31
"ANI15" 4 "LMB" 14.5 1.35
"ANI15" 4 "LMB" 14.5 1.4
"ANI15" 4 "LMB" 14.5 1.46
"ANI15" 4 "LMB" 14.5 1.53
"ANI15" 4 "LMB" 14.5 1.74
"ANI15" 4 "LMB" 14.6 1.65
"ANI15" 4 "LMB" 14.7 1.42
"ANI15" 4 "LMB" 14.8 1.17
"ANI15" 4 "LMB" 14.8 1.46
"ANI15" 4 "LMB" 15.1 1.64
"ANI15" 4 "LMB" 15.1 1.85
"ANI15" 4 "LMB" 15.2 1.4
"ANI15" 4 "LMB" 15.3 1.71
"ANI15" 4 "LMB" 15.5 1.38
"ANI15" 4 "LMB" 15.5 1.68
"ANI15" 4 "LMB" 15.5 1.79
"ANI15" 4 "LMB" 15.6 1.47
"ANI15" 4 "LMB" 15.6 1.68
"ANI15" 4 "LMB" 15.9 2.09
"ANI15" 4 "LMB" 16 2.32
"ANI15" 4 "LMB" 16.1 2.1
"ANI15" 4 "LMB" 16.1 2.32
"ANI15" 4 "LMB" 16.5 2.12
"ANI15" 4 "LMB" 16.5 2.41
"ANI15" 4 "LMB" 16.6 2.45
"ANI15" 4 "LMB" 17.5 2.5
"ANI15" 4 "LMB" 8.1 0.24
"ANI15" 4 "LMB" 8.1 0.3
"ARB79" 5 "LMB" 8.2 0.28
"ARB79" 5 "LMB" 8.5 0.32
"ARB79" 5 "LMB" 8.8 0.34
"ARB79" 5 "LMB" 8.8 0.36
"ARB79" 5 "LMB" 8.9 0.33
"ARB79" 5 "LMB" 9 0.35
"ARB79" 5 "LMB" 9.7 0.42
"ARB79" 5 "LMB" 9.8 0.43
"ARB79" 5 "LMB" 9.9 0.45
"ARB79" 5 "LMB" 10 0.48
"ARB79" 5 "LMB" 10 0.48
"ARB79" 5 "LMB" 10 0.5
"ARB79" 5 "LMB" 10.1 0.52
"ARB79" 5 "LMB" 10.2 0.48
"ARB79" 5 "LMB" 10.2 0.5
"ARB79" 5 "LMB" 10.2 0.51
"ARB79" 5 "LMB" 10.2 0.52
"ARB79" 5 "LMB" 10.2 0.54
"ARB79" 5 "LMB" 10.4 0.54
"ARB79" 5 "LMB" 10.4 0.55
"ARB79" 5 "LMB" 10.5 0.54
"ARB79" 5 "LMB" 10.5 0.6
"ARB79" 5 "LMB" 10.6 0.61
"ARB79" 5 "LMB" 10.7 0.54
"ARB79" 5 "LMB" 10.9 0.6
"ARB79" 5 "LMB" 11.1 0.59
"ARB79" 5 "LMB" 11.1 0.64
"ARB79" 5 "LMB" 11.4 0.66
"ARB79" 5 "LMB" 11.6 0.81
"ARB79" 5 "LMB" 11.6 0.93
"ARB79" 5 "LMB" 11.7 0.8
"ARB79" 5 "LMB" 11.7 0.8
"ARB79" 5 "LMB" 11.8 0.85
"ARB79" 5 "LMB" 11.8 0.86
"ARB79" 5 "LMB" 11.9 0.77
"ARB79" 5 "LMB" 11.9 0.96
"ARB79" 5 "LMB" 12 0.88
"ARB79" 5 "LMB" 12 0.98
"ARB79" 5 "LMB" 12.2 0.95
"ARB79" 5 "LMB" 12.3 0.84
"ARB79" 5 "LMB" 12.3 1
"ARB79" 5 "LMB" 12.4 0.97
"ARB79" 5 "LMB" 12.7 1.06
"ARB79" 5 "LMB" 12.7 1.08
"ARB79" 5 "LMB" 12.9 1.17
"ARB79" 5 "LMB" 13 1.12
"ARB79" 5 "LMB" 13.4 1.23
"ARB79" 5 "LMB" 14.3 1.48
"ARB79" 5 "LMB" 8 0.24
"ARB79" 5 "LMB" 8.1 0.27
"ARR81" 6 "LMB" 8.2 0.26
"ARR81" 6 "LMB" 8.2 0.26
"ARR81" 6 "LMB" 8.3 0.26
"ARR81" 6 "LMB" 8.4 0.24
"ARR81" 6 "LMB" 8.4 0.26
"ARR81" 6 "LMB" 8.4 0.26
"ARR81" 6 "LMB" 8.4 0.27
"ARR81" 6 "LMB" 8.4 0.28
"ARR81" 6 "LMB" 8.6 0.28
"ARR81" 6 "LMB" 8.6 0.29
"ARR81" 6 "LMB" 8.6 0.3
"ARR81" 6 "LMB" 8.7 0.28
"ARR81" 6 "LMB" 8.8 0.31
"ARR81" 6 "LMB" 8.8 0.34
"ARR81" 6 "LMB" 8.9 0.32
"ARR81" 6 "LMB" 8.9 0.35
"ARR81" 6 "LMB" 9.1 0.31
"ARR81" 6 "LMB" 9.1 0.32
"ARR81" 6 "LMB" 9.1 0.34
"ARR81" 6 "LMB" 9.1 0.34
"ARR81" 6 "LMB" 9.2 0.38
"ARR81" 6 "LMB" 9.3 0.39
"ARR81" 6 "LMB" 9.4 0.34
"ARR81" 6 "LMB" 9.5 0.36
"ARR81" 6 "LMB" 9.5 0.38
"ARR81" 6 "LMB" 9.6 0.4
"ARR81" 6 "LMB" 9.7 0.41
"ARR81" 6 "LMB" 9.7 0.42
"ARR81" 6 "LMB" 9.8 0.44
"ARR81" 6 "LMB" 9.9 0.39
"ARR81" 6 "LMB" 10 0.46
"ARR81" 6 "LMB" 10 0.49
"ARR81" 6 "LMB" 10.1 0.46
"ARR81" 6 "LMB" 10.1 0.49
"ARR81" 6 "LMB" 10.2 0.44
"ARR81" 6 "LMB" 10.2 0.48
"ARR81" 6 "LMB" 10.2 0.53
"ARR81" 6 "LMB" 10.3 0.45
"ARR81" 6 "LMB" 10.5 0.44
"ARR81" 6 "LMB" 10.5 0.48
"ARR81" 6 "LMB" 10.5 0.51
"ARR81" 6 "LMB" 10.6 0.45
"ARR81" 6 "LMB" 10.6 0.48
"ARR81" 6 "LMB" 10.6 0.49
"ARR81" 6 "LMB" 10.7 0.5
"ARR81" 6 "LMB" 10.7 0.58
"ARR81" 6 "LMB" 10.9 0.49
"ARR81" 6 "LMB" 10.9 0.59
"ARR81" 6 "LMB" 10.9 0.59
"ARR81" 6 "LMB" 11 0.57
