"lake" "tn" "chl" "secchi" "crop" "forest" "grass" "urban" "region"
6 0.90765275 18.20169661 0.455684504 0.289131399 0.225465889 0.206599144 0.262922667 "plains"
114 0.908965242 15.05200126 0.89826397 0.440197937 0.198179017 0.277877478 0 "plains"
94 0.915303438 35.5278893 0.747455448 0.145540887 0.109282949 0.652784441 0.044120789 "plains"
84 0.921637633 11.08484552 0.58296734 0.479632148 0.205130393 0.223639384 0 "plains"
184 0.922061766 10.623335 0.510255861 0.2497 0.1199 0.5767 0 "plains"
55 0.932910641 14.29930079 1.146514582 0.225 0.093 0.45 0.069 "plains"
97 0.95172244 10.49852648 0.834653583 0.089113101 0.336464245 0.544420233 0.02874865 "ozarks"
81 0.951779399 26.35526015 0.719964214 0.375979639 0.17281569 0.36454516 0 "plains"
157 0.962224169 14.99966081 0.632756769 0.411900912 0.115388068 0.278263756 0.047487387 "plains"
78 0.969691604 12.60483223 0.752630507 0.523209004 0.047514606 0.352887532 0 "plains"
91 0.978486095 29.80159711 0.47348143 0.189765658 0.240122704 0.467996235 0 "plains"
183 0.98080242 32.34448405 0.64378388 0.3141 0.0848 0.548 0.004 "plains"
180 0.982146934 34.86930445 0.984225045 0.5635 0.0313 0.3649 0 "plains"
70 0.989010374 34.7529896 0.634666664 0.521195857 0.086719494 0.337027427 0 "plains"
113 0.994416439 20.24063802 0.574757079 0.534267874 0.123093939 0.275168137 0 "plains"
185 1.023602996 38.6947664 0.873260721 0.0996 0.1196 0.7787 0 "plains"
63 1.044724633 39.79074424 0.553582864 0.263131274 0.203913561 0.518190904 0 "plains"
167 1.046782276 12.60805661 0.163391545 0.553468878 0.098696781 0.178804511 0.054043695 "plains"
137 1.052984228 26.88688237 0.556418975 0.282347276 0.094037161 0.563280851 0 "plains"
121 1.056266301 18.11218694 0.556162766 0.515893518 0.109406325 0.305690204 0 "plains"
29 1.058702811 33.00641383 0.767731027 0.084684608 0.675675887 0.145945831 0.006006 "ozarks"
7 1.059872903 53.8732843 0.46073854 0.243823846 0.388605327 0.316570982 0 "plains"
60 1.075382744 25.4095711 0.476629466 0.694547734 0.049779941 0.167964912 0 "plains"
59 1.09917531 29.56647761 0.513346163 0.473946067 0.076551548 0.262588031 0.148272725 "plains"
88 1.120017143 38.96482456 0.616058182 0.345718246 0.179035998 0.409171766 0 "plains"
150 1.124399502 30.04385797 0.561932957 0.477160264 0.209476248 0.278847809 0 "plains"
90 1.127643124 54.87955747 0.244004815 0.429482465 0.129565675 0.41399602 0 "plains"
56 1.208729287 15.95363537 0.557823697 0.659230335 0.039319578 0.227272724 0 "plains"
51 1.221105063 33.63177353 0.547314708 0.21028513 0.154749306 0.466713683 0.123283009 "plains"
145 1.223569883 13.86654028 0.804075106 0.522486806 0.15783227 0.274405941 0.01920184 "plains"
53 1.226421171 37.01510819 0.536950057 0.295702916 0.179223802 0.419774872 0 "plains"
82 1.274747922 40.62082557 0.588854346 0.249324137 0.058950893 0.66403429 0 "plains"
54 1.312991482 17.64413898 0.462749438 0.737049504 0.095157581 0.140202834 0 "plains"
140 1.411051872 39.31142775 0.374427402 0.327474983 0.114834965 0.367620907 0.141782401 "plains"
119 1.452046746 56.20349834 0.521725517 0.316368812 0.161070141 0.461700675 0 "plains"
